id,address,ETH,WETH,USDT,USDC,DAI
1,0x1F990e3540F71DbC29408388CDec394A764543Ce,7.412989352982272e+16,0.0,531244.59612,58006.34224,4964.24443
2,0x6b963D1F67EBF1d6F41cdD9BB5e2b3462eAE7eec,4005157299093361.5,0.0,18772.38616,667157.84543,312896.14569
